round,slate,clicks,binary_reward,soft_score
38,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1]",1,6
39,"[388, 578, 675, 308, 828, 809, 27, 311, 881, 580]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,3
40,"[133, 598, 589, 112, 890, 731, 53, 149, 834, 138]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1,2
41,"[311, 211, 904, 802, 234, 998, 114, 566, 1, 608]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,2
42,"[336, 184, 115, 269, 290, 80, 613, 672, 526, 183]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
43,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",1,6
44,"[903, 262, 382, 156, 536, 708, 611, 630, 116, 381]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
45,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 0]",1,6
46,"[908, 11, 431, 721, 604, 290, 129, 291, 403, 729]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]",1,6
47,"[165, 438, 285, 516, 595, 132, 936, 556, 578, 307]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,1
48,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,8
49,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0]",1,5
50,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",1,5
51,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1,8
52,"[684, 513, 662, 625, 197, 980, 428, 550, 421, 822]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
53,"[37, 130, 253, 678, 594, 57, 659, 224, 435, 300]","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1,3
54,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0]",1,5
55,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",1,4
56,"[939, 636, 174, 362, 971, 575, 133, 383, 101, 768]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1,2
57,"[183, 944, 96, 217, 712, 627, 754, 33, 50, 942]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",1,4
58,"[812, 7, 772, 574, 816, 351, 301, 266, 915, 705]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,2
59,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,7
60,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",1,7
61,"[338, 289, 246, 985, 789, 984, 537, 322, 194, 44]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,2
62,"[455, 675, 644, 827, 689, 903, 197, 290, 584, 464]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]",1,5
63,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]",1,7
64,"[512, 240, 833, 441, 483, 951, 208, 626, 831, 804]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,2
65,"[427, 344, 613, 434, 487, 95, 439, 838, 614, 747]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",1,4
66,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",1,5
67,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1,8
68,"[100, 639, 39, 577, 991, 753, 571, 254, 604, 129]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
69,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1,7
70,"[719, 864, 135, 242, 588, 286, 47, 347, 229, 676]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,2
71,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1,4
72,"[933, 52, 219, 315, 993, 228, 67, 43, 759, 295]","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",1,3
73,"[608, 574, 798, 694, 392, 172, 850, 790, 742, 412]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1,2
74,"[31, 255, 183, 474, 266, 605, 364, 94, 677, 124]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,1
75,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",1,3
76,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]",1,4
77,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",1,7
78,"[933, 102, 584, 473, 644, 640, 482, 925, 822, 805]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
79,"[444, 87, 511, 887, 386, 867, 190, 392, 281, 411]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,2
80,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",1,4
81,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",1,8
82,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",1,5
83,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 0, 1, 0, 1, 1]",1,6
84,"[274, 47, 449, 588, 519, 793, 778, 472, 567, 745]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1,4
85,"[260, 165, 423, 120, 588, 924, 436, 383, 919, 280]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,2
86,"[210, 805, 775, 854, 718, 63, 879, 604, 259, 301]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1,3
87,"[164, 467, 898, 69, 49, 771, 27, 81, 746, 734]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,2
88,"[180, 741, 224, 116, 391, 45, 668, 725, 371, 946]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",1,5
89,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1,4
90,"[88, 649, 621, 377, 285, 688, 93, 830, 259, 818]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,2
91,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",1,6
92,"[565, 845, 280, 824, 497, 257, 301, 196, 835, 458]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,2
93,"[403, 243, 445, 655, 432, 987, 884, 109, 242, 394]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,2
94,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,3
95,"[664, 72, 181, 389, 763, 417, 346, 480, 794, 123]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
96,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 0, 0, 1, 1, 0]",1,5
97,"[84, 860, 425, 651, 69, 599, 491, 276, 259, 888]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,1
98,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1,4
99,"[639, 373, 159, 755, 933, 819, 514, 297, 850, 461]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,2
100,"[394, 680, 96, 604, 718, 454, 999, 128, 551, 93]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,2
101,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",1,3
102,"[614, 699, 485, 947, 322, 268, 807, 127, 790, 869]","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",1,5
103,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1,7
104,"[307, 490, 747, 698, 863, 45, 483, 639, 214, 248]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
105,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",1,6
106,"[830, 113, 20, 459, 327, 981, 280, 216, 273, 385]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
107,"[557, 114, 614, 240, 71, 250, 714, 498, 404, 552]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,1
108,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",1,8
109,"[553, 638, 431, 598, 335, 211, 877, 84, 311, 460]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",1,3
110,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 1]",1,7
111,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",1,5
112,"[896, 753, 569, 800, 669, 728, 77, 632, 118, 451]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",1,4
113,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 0, 0, 1, 0]",1,5
114,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",1,5
115,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",1,5
116,"[178, 17, 833, 492, 588, 533, 417, 241, 222, 393]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1,3
117,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 1, 0, 1, 0, 0]",1,6
118,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",1,7
119,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1]",1,8
120,"[765, 307, 616, 527, 259, 606, 964, 372, 349, 155]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1,2
121,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1,4
122,"[267, 15, 113, 562, 102, 405, 240, 564, 49, 578]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",1,3
123,"[907, 651, 901, 685, 703, 327, 502, 443, 262, 931]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1]",1,6
124,"[899, 615, 349, 631, 718, 229, 630, 549, 799, 530]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,2
125,"[714, 42, 238, 322, 6, 905, 34, 271, 204, 564]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,3
126,"[597, 361, 701, 114, 608, 70, 672, 674, 688, 139]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
127,"[789, 315, 651, 908, 858, 726, 388, 40, 266, 424]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1,3
128,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",1,5
129,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1,6
130,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",1,6
131,"[135, 9, 974, 973, 871, 414, 465, 510, 643, 267]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
132,"[701, 738, 545, 34, 290, 792, 79, 822, 704, 692]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,2
133,"[417, 599, 535, 267, 648, 484, 315, 382, 993, 554]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,3
134,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1,7
135,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,6
136,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",1,7
137,"[424, 655, 539, 475, 672, 586, 279, 851, 759, 635]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
138,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 0, 1, 0]",1,6
139,"[461, 907, 16, 729, 763, 619, 269, 812, 241, 785]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
140,"[279, 572, 273, 961, 875, 6, 757, 111, 591, 759]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,3
141,"[354, 972, 329, 676, 23, 243, 251, 343, 728, 258]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
142,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]",1,7
143,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",1,5
144,"[407, 556, 800, 97, 341, 510, 674, 223, 450, 262]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1,3
145,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",1,6
146,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,10
147,"[613, 680, 631, 282, 449, 575, 606, 642, 127, 735]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
148,"[611, 545, 605, 26, 419, 390, 356, 397, 91, 172]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
149,"[920, 561, 43, 125, 823, 519, 279, 677, 371, 727]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
150,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",1,5
151,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",1,3
152,"[23, 133, 323, 367, 560, 837, 641, 375, 351, 953]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,1
153,"[351, 871, 807, 105, 138, 968, 246, 616, 560, 557]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1,2
154,"[320, 232, 590, 112, 135, 713, 731, 706, 771, 479]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,2
155,"[508, 944, 897, 338, 35, 465, 333, 233, 84, 337]","[1, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1,6
156,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",1,5
157,"[148, 925, 511, 891, 304, 733, 113, 915, 588, 133]","[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",1,5
158,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1,9
159,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",1,7
160,"[962, 154, 286, 888, 205, 451, 122, 39, 765, 264]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,1
161,"[422, 751, 716, 693, 883, 710, 43, 326, 97, 78]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,2
162,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",1,6
163,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 0]",1,6
164,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,6
165,"[646, 237, 407, 157, 79, 353, 88, 338, 735, 299]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1,3
166,"[838, 306, 483, 683, 341, 297, 548, 761, 622, 299]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1,4
167,"[542, 972, 955, 371, 830, 400, 109, 283, 983, 386]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,3
168,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",1,5
169,"[709, 531, 645, 801, 766, 275, 302, 516, 121, 944]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,1
170,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",1,5
171,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",1,4
172,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",1,8
173,"[755, 677, 787, 994, 838, 604, 141, 302, 999, 28]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,2
174,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",1,8
175,"[370, 386, 358, 628, 599, 692, 207, 949, 47, 783]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1,2
176,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",1,7
177,"[179, 248, 735, 539, 552, 308, 588, 355, 922, 416]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
178,"[67, 139, 502, 615, 901, 391, 507, 88, 766, 41]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,2
179,"[984, 15, 810, 898, 797, 90, 715, 822, 957, 623]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
180,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",1,7
181,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1,7
182,"[504, 721, 319, 939, 510, 141, 128, 260, 744, 361]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,2
183,"[840, 667, 214, 972, 390, 263, 357, 696, 283, 304]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
184,"[946, 662, 541, 654, 927, 595, 687, 656, 780, 997]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",1,3
185,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]",1,6
186,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]",1,5
187,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",1,6
188,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 0, 0, 0, 1, 0, 1, 1]",1,6
189,"[913, 407, 344, 854, 372, 379, 410, 468, 696, 360]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
190,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",1,5
191,"[873, 620, 314, 228, 605, 507, 848, 311, 341, 55]","[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",1,3
192,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 0, 0, 0, 1, 1]",1,6
193,"[179, 60, 690, 754, 30, 424, 626, 562, 506, 286]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,3
194,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",1,6
195,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",1,6
196,"[708, 423, 333, 1, 807, 47, 760, 22, 584, 924]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,2
197,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",1,6
198,"[913, 280, 813, 708, 603, 58, 816, 948, 199, 142]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1
199,"[58, 784, 429, 566, 618, 61, 159, 527, 169, 244]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",1,3
200,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",1,4
201,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,8
